user_ID,P12045,P122718,P122762,P122774,P122900,P12295,P12336,P12573,P126301,P139000,P173619,P173726,P174502,P188307,P203616,P214002,P217513,P218700,P232903,P232910,P232915,P248404,P248407,P257537,P266126,P268700,P269122,P270594,P278317,P283501,P297516,P297524,P297551,P302103,P306941,P309306,P309308,P309310,P3617,P375849,P375850,P375853,P376726,P377533,P377561,P377570,P377577,P378852,P379510,P379707,P379710,P381020,P381030,P382204,P384537,P384539,P384778,P384780,P384821,P385432,P386197,P386754,P387261,P391802,P392235,P392245,P392246,P393718,P394397,P394624,P394639,P394826,P395615,P397890,P399623,P39970,P400203,P400207,P400259,P4010,P4015,P4016,P402718,P402944,P403817,P403818,P404322,P404338,P404793,P404795,P405096,P405584,P405599,P406712,P409631,P409800,P410400,P411365,P411387,P411388,P411401,P411403,P411539,P411540,P413326,P414293,P415202,P415237,P415619,P415620,P415667,P415701,P415747,P415771,P415773,P415777,P416139,P416341,P416560,P416562,P416563,P416564,P416815,P416816,P417238,P417936,P418218,P418346,P418624,P418629,P418872,P419221,P419222,P419223,P420158,P420224,P420652,P420699,P421235,P421243,P421275,P421276,P421277,P421432,P421996,P421998,P422000,P422002,P422007,P422022,P42204,P422430,P422510,P422536,P422905,P423130,P423136,P423142,P423148,P423259,P423688,P424948,P426080,P426183,P426340,P426501,P426707,P426829,P426836,P427397,P427406,P427410,P427411,P427412,P427413,P427414,P427415,P427416,P427417,P427418,P427419,P427420,P427421,P427529,P427536,P428095,P428250,P428416,P428668,P428819,P429242,P429250,P429515,P429516,P429529,P429952,P429953,P430146,P430337,P431180,P431187,P431848,P432045,P432049,P432241,P432242,P432668,P432829,P433443,P433444,P433520,P433521,P433627,P433887,P434336,P434360,P434545,P434548,P435800,P436094,P436359,P436387,P438617,P438618,P438619,P438620,P439057,P439058,P439061,P439926,P439928,P440075,P440307,P440312,P440498,P440504,P440650,P440651,P440925,P440934,P440949,P441101,P441644,P442003,P442563,P442564,P442566,P442594,P442741,P442742,P442743,P442744,P442761,P442830,P442836,P442837,P442838,P442839,P442840,P442858,P442871,P442990,P443349,P443350,P443352,P443359,P443370,P443563,P443700,P443830,P443833,P443840,P443842,P443843,P443845,P444057,P444222,P444718,P444970,P444980,P445827,P445832,P445951,P446421,P446423,P446641,P446930,P446934,P446938,P446942,P447210,P447212,P447592,P447603,P447778,P447780,P447781,P447782,P447791,P448184,P448185,P448202,P448203,P448207,P448530,P448719,P448802,P448852,P448937,P449175,P449180,P449599,P450271,P450633,P450917,P453224,P453225,P453226,P453227,P453253,P453816,P453823,P453824,P453928,P453930,P454018,P454084,P454086,P454102,P454120,P454313,P454380,P454383,P454384,P454396,P454794,P454799,P454837,P454838,P454935,P454936,P455236,P455237,P455241,P455364,P455366,P455368,P455611,P455676,P455926,P455927,P455934,P455936,P456126,P456207,P456208,P456211,P456213,P456218,P456392,P456398,P456412,P456414,P456418,P456566,P456571,P456582,P457005,P457008,P457512,P457521,P458209,P458216,P458219,P458576,P458755,P458900,P458917,P459133,P459141,P459299,P459300,P459301,P460512,P460515,P460516,P460578,P460624,P460701,P460723,P460747,P460779,P460856,P461159,P461160,P461165,P461177,P461213,P461439,P461537,P461555,P461933,P461949,P462347,P462666,P462699,P463036,P463105,P463144,P463353,P463371,P464233,P464239,P464243,P465368,P465741,P466114,P466117,P466122,P466123,P466134,P466142,P466153,P466154,P466155,P466164,P466661,P466673,P467038,P467110,P467124,P467247,P467248,P467249,P467602,P467615,P467655,P467762,P467945,P467971,P467976,P468637,P468658,P468684,P468821,P469482,P469490,P469502,P469506,P469522,P469538,P470024,P470041,P470057,P470065,P470227,P470243,P470255,P470259,P470506,P470509,P470529,P470536,P471003,P471025,P471037,P471043,P471046,P471065,P471101,P471226,P471237,P471546,P471788,P472052,P472453,P472454,P472468,P472469,P472472,P472810,P472981,P473160,P473322,P474060,P474075,P474340,P474377,P474822,P474832,P474840,P474937,P474938,P474939,P475124,P475543,P475589,P475630,P475908,P475921,P475951,P476414,P476415,P476729,P476730,P476876,P477157,P477830,P477985,P478030,P479125,P479304,P479318,P479327,P479329,P479330,P479339,P479348,P479362,P479645,P479705,P479706,P479839,P479841,P479860,P479904,P479971,P480177,P480192,P480285,P480301,P480461,P480612,P480613,P480630,P481084,P481161,P481162,P481164,P481169,P481366,P481697,P481732,P481739,P481817,P481830,P481831,P481833,P481989,P482024,P482074,P482264,P482298,P482320,P482321,P482323,P482325,P482535,P482540,P482551,P482676,P482681,P482693,P482739,P482742,P483076,P483138,P483679,P484080,P500138,P500240,P500245,P500288,P500471,P500472,P500613,P500633,P500744,P500756,P500757,P500777,P500857,P500993,P501028,P501029,P501171,P501188,P501189,P501236,P501254,P501288,P501760,P502656,P502966,P503052,P503191,P503634,P503668,P503726,P503814,P503879,P503891,P503936,P503999,P504007,P504042,P504045,P504125,P504595,P504615,P504986,P505009,P505020,P505023,P505024,P505031,P505054,P505346,P54509,P7880,P94421,P9940
12640060683,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,5.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,5.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,5.0,,,,,5.0,,5.0,5.0,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,4.0,5.0,5.0,,,,,,5.0,,5.0,,,5.0,,5.0,,5.0,,,,,,,5.0,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,5.0,,,,5.0,,,5.0,,,,,,,
12666469928,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,,,,5.0,5.0,,,,,,,,,5.0,5.0,,,,,,,3.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,
12683206114,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,5.0,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
1274186086,5.0,,,,,,,,,,4.0,,,,4.0,,,,,,3.0,1.0,5.0,,,,,,,4.0,,4.0,,,3.0,,1.0,,,,,,,,1.0,5.0,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,,,,,4.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
12750259168,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,,,5.0,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,5.0,,5.0,,,,,5.0,,,,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,5.0,,5.0,,5.0,,,,,,,5.0,,,,,,,,,,,,,5.0,5.0,,,,,,,5.0,,,,,,,,,,,,5.0,,,5.0,,,,5.0,,,,,,5.0,,,5.0,5.0,,,,,5.0,,5.0,,,5.0,,5.0,,,,5.0,,,,,5.0,,,,,,,,5.0,,5.0,,,,,,,5.0,,,5.0,5.0,,,,,,,,,,,,,,,5.0,,,,
12789641601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,5.0,,5.0,,,,5.0,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12847274686,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,,5.0,,,,,,5.0,,,,,,,5.0,,,,,5.0,,,,,,,5.0,,,,,,,,,,5.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,5.0,,,,,,
1296409794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,4.0,,,,,,,,,5.0,,5.0,,,,,,,5.0,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,3.0,5.0,4.0,,,,3.0,,,,,,,,,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,4.0,5.0,,,4.0,,,5.0,,,
13023230015,,,,,,,,,,,,,2.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,5.0,,,,,,,,,,,,4.0,,,,,,3.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,4.0,,,,3.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,,,,,,,,,
1309336177,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,5.0,4.0,4.0,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,4.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,5.0,5.0,,,,4.0,,,,,4.0,,,,,
1309946987,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,4.0,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,,,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,3.0,,,,,,,,,,,,,4.0,4.0,,,,,4.0,,,,,4.0,,,,,,5.0,,,,4.0,4.0,5.0,,,,,,,,,,,,,,,,,4.0,,3.0,4.0,,,,,4.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,,,,
1314992825,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,5.0,4.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,5.0,,,,,,,,,,4.0,5.0,5.0,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,5.0,,5.0,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,5.0,,5.0,,,,,,,,,5.0,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,5.0,,,,,5.0,,,,,,,5.0,,5.0,,5.0,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,5.0,,,,,,,,,,5.0,,,,
1325857542,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,5.0,,5.0,,,,,,,,,5.0,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,5.0,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,
1327961335,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,4.0,,,,,,,5.0,,,,,,,,,,,,,,,5.0,5.0,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,,,5.0,,,,,,4.0,,4.0,5.0,,,,,,5.0,,,,,,,,,,,,,,4.0,5.0,,5.0,,,,,,,,,,,,,,,,4.0,,4.0,,5.0,,,,,,,,,,,5.0,,,,,,,,
1329792892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,4.0,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
